Year;Density;CIED;CILD;ZAI Rot;ZAI Cop;ZAI Clad;ZAI Larv;ZAI Juv;PO4
2012;2992;0,133;0,228;263825;268471;124481;656777;405447;7,9
2013;3849;;0,233;207966;320004;126349;654320;370255;7,77
2014;561;0,085;0,068;138885;280964;59142;478990;338728;6,75
2015;4478;0,156;0,128;121328;195049;100947;417324;353891;4,89
2016;5474;0,229;0,13;131037;278757;52021;461815;464064;5,97
2017;1808;0,024;0,118;95302;368038;85650;548989;382369;6,09
2018;4436;0,24;0,182;53767;266260;81492;401519;518480;5,07
2019;513;0,001;0,172;182532;348846;97196;628573;402200;6,3
2020;5904;0,168;0,063;76221;215757;32607;324584;198927;5,68
2021;498;;;43921;106658;59000;209579;;
