Year;Density;CIED;CILD;ZAI Rot;ZAI Cop;ZAI Clad;ZAI Larv;ZAI Juv;PO4
2011;1271;0,148;0,178;420219;1280524;690380;2391123;386305;13,5
2012;5866;0,174;0,234;135694;1022156;794889;1952739;260282;13,91
2013;6598;0,214;0,169;133178;267829;154316;555322;295215;10,8
2014;1320;0,033;0,127;129327;906719;434381;1470427;315521;11,08
2015;1840;0,071;0,141;309512;288337;144688;742536;408775;11,03
2016;3575;0,225;0,17;291741;430629;100427;822796;297606;9,7
2017;1601;0,042;0,155;162306;156539;62036;380880;517528;8,56
2018;640;0,149;0,2;107380,5;311653;394374;813407,5;289603;8,35
2019;8318;;0,268;121462;130243;5742;257447;234380;7,06
2020;956;0,126;0,115;19553;170642;190239;380434;269671;7,7
2021;4605;0,173;0,329;144838;317630;102179;564647;;8,72
