ID;Lake;Density;CIED;CILD;ZAI Rot;ZAI Cop;ZAI Clad;ZAI Larv;ZAI Juv;IEAR;PO4
2011 Bourget;Bourget;1271;0,148;0,178;420219;1280524;690380;2391123;386305;1659;13,5
2012 Annecy;Annecy;2992;0,133;0,228;263825;268471;124481;656777;405447;1137;7,9
2012 Bourget;Bourget;5866;0,174;0,234;135694;1022156;794889;1952739;260282;3531;13,91
2013 Annecy;Annecy;3849;;0,233;207966;320004;126349;654320;370255;1877;7,77
2013 Bourget;Bourget;6598;0,214;0,169;133178;267829;154316;555322;295215;3671;10,8
2014 Annecy;Annecy;561;0,085;0,068;138885;280964;59142;478990;338728;2207;6,75
2014 Bourget;Bourget;1320;0,033;0,127;129327;906719;434381;1470427;315521;1489;11,08
2015 Annecy;Annecy;4478;0,156;0,128;121328;195049;100947;417324;353891;1133;4,89
2015 Bourget;Bourget;1840;0,071;0,141;309512;288337;144688;742536;408775;1106;11,03
2016 Annecy;Annecy;5474;0,225;0,13;131037;278757;52021;461815;464064;1719;5,97
2016 Bourget;Bourget;3575;0,179;0,17;291741;430629;100427;822796;297606;3096;9,7
2017 Annecy;Annecy;1808;0,024;0,118;95302;368038;85650;548989;382369;2325;6,09
2017 Bourget;Bourget;1601;0,042;0,155;162306;156539;62036;380880;517528;3370;8,56
2018 Annecy;Annecy;4436;0,24;0,182;53767;266260;81492;401519;518480;1990;5,07
2018 Bourget;Bourget;640;0,149;0,2;107380,5;311653;394374;813407,5;289603;2045;8,35
2019 Annecy;Annecy;513;0,001;0,172;182532;348846;97196;628573;402200;1584;6,3
2019 Bourget;Bourget;8318;;0,268;121462;130243;5742;257447;234380;2465;7,06
2020 Annecy;Annecy;5904;0,168;0,063;76221;215757;32607;324584;198927;307;5,68
2020 Bourget;Bourget;956;0,126;0,115;19553;170642;190239;380434;269671;3140;7,7
2021 Annecy;Annecy;498;;;43921;106658;59000;209579;;;8,01
2021 Bourget;Bourget;4605;0,173;0,329;144838;317630;102179;564647;;;8,72
